Date,Estimated earnings (USD),Page views,Page RPM (USD),Impressions,Impression RPM (USD),Active View Viewable,Clicks
2021-12-29,0.05,331,0.16,1051,0.05,0.5049,0
2021-12-30,0.27,232,1.18,786,0.35,0.5013,6
2021-12-31,0.10,219,0.46,680,0.15,0.4819,3
2022-01-01,0.10,285,0.34,744,0.13,0.4735,1
2022-01-02,0.30,396,0.75,1338,0.22,0.4829,3
2022-01-03,0.03,358,0.10,982,0.03,0.5135,1
2022-01-04,0.23,296,0.78,935,0.25,0.4751,1
2022-01-05,0.09,328,0.28,1139,0.08,0.5045,1
2022-01-06,0.14,258,0.54,768,0.18,0.4793,3
2022-01-07,0.20,187,1.07,611,0.33,0.4472,4
2022-01-08,0.18,361,0.51,1034,0.18,0.4975,4
2022-01-09,0.15,228,0.66,787,0.19,0.4631,4
2022-01-10,0.19,140,1.32,475,0.39,0.4957,3
2022-01-11,0.02,144,0.17,449,0.06,0.4988,0
2022-01-12,0.47,363,1.28,849,0.55,0.452,4
2022-01-13,0.02,219,0.11,619,0.04,0.4646,0
2022-01-14,0.21,215,0.97,617,0.34,0.4215,1
2022-01-15,0.25,356,0.70,926,0.27,0.4955,3
2022-01-16,0.26,378,0.68,1073,0.24,0.4927,3
2022-01-17,0.20,169,1.18,515,0.39,0.3889,1
2022-01-18,0.04,136,0.29,379,0.10,0.4558,1
2022-01-19,0.03,160,0.18,456,0.06,0.4338,0
2022-01-20,0.06,103,0.55,278,0.20,0.3855,1
2022-01-21,0.18,169,1.08,490,0.37,0.4679,6
2022-01-22,0.01,476,0.02,33,0.35,0.4,0
2022-01-23,0.00,134,0.00,0,,,0
2022-01-24,0.00,190,0.00,0,,,0
2022-01-25,0.00,469,0.00,9,0.03,0.2857,0
2022-01-26,0.00,646,0.00,0,,,0
2022-01-27,0.00,648,0.00,6,0.00,0.3333,0
2022-01-28,0.00,471,0.00,2,0.05,0,0
2022-01-29,0.00,234,0.00,17,0.01,0.5385,0
2022-01-30,0.12,128,0.91,395,0.30,0.4354,1
2022-01-31,0.02,213,0.09,68,0.29,0.3538,0
2022-02-01,0.00,225,0.01,10,0.27,0.4,0
2022-02-02,0.00,513,0.00,8,0.00,0,0
2022-02-03,0.00,476,0.00,78,0.01,0.5909,0
2022-02-04,0.06,307,0.21,238,0.27,0.5395,1
2022-02-05,0.00,346,0.00,17,0.00,0.1333,0
2022-02-06,0.00,405,0.00,0,,,0
2022-02-07,0.00,471,0.00,4,0.03,0.75,0
2022-02-08,0.00,456,0.01,11,0.37,0.2222,0
2022-02-09,0.09,419,0.20,12,7.16,0.3571,1
2022-02-10,0.00,400,0.00,8,0.00,0.4444,0
2022-02-11,0.00,183,0.02,9,0.39,0.5,0
2022-02-12,0.00,352,0.00,3,0.46,0,0
2022-02-13,0.02,269,0.07,10,1.77,0.3,0
2022-02-14,0.00,216,0.00,0,,,0
2022-02-15,0.00,269,0.00,3,0.17,0.3333,0
2022-02-16,0.00,257,0.00,9,0.00,0.3333,0
2022-02-17,0.27,131,2.05,432,0.62,0.4543,2
2022-02-18,0.07,151,0.43,379,0.17,0.4441,1
2022-02-19,0.10,716,0.14,2156,0.05,0.4656,1
2022-02-20,0.23,186,1.22,625,0.36,0.461,2
2022-02-21,0.06,222,0.26,702,0.08,0.4036,1
2022-02-22,0.12,219,0.57,677,0.18,0.4664,1
2022-02-23,0.14,204,0.68,542,0.26,0.4668,1
2022-02-24,0.32,352,0.90,1115,0.28,0.4933,4
2022-02-25,0.99,500,1.98,1615,0.61,0.4836,20
2022-02-26,0.37,290,1.26,1102,0.33,0.4866,3
2022-02-27,0.37,294,1.24,1078,0.34,0.492,4
2022-02-28,0.53,243,2.17,786,0.67,0.4266,8
2022-03-01,0.12,163,0.72,522,0.23,0.501,2
2022-03-02,0.31,126,2.46,429,0.72,0.4386,4
2022-03-03,0.24,218,1.10,823,0.29,0.4734,4
2022-03-04,0.13,171,0.74,529,0.24,0.4621,1
2022-03-05,0.50,288,1.74,1065,0.47,0.4767,4
2022-03-06,0.45,287,1.57,1066,0.42,0.4909,4
2022-03-07,0.81,261,3.08,980,0.82,0.4907,5
2022-03-08,0.14,307,0.44,1042,0.13,0.4708,5
2022-03-09,0.36,402,0.89,1354,0.27,0.4882,4
2022-03-10,0.32,378,0.85,1084,0.30,0.403,6
2022-03-11,0.56,458,1.22,1581,0.35,0.467,9
2022-03-12,0.03,292,0.12,163,0.21,0.3861,0
2022-03-13,0.00,259,0.00,3,0.00,0,0
2022-03-14,0.00,140,0.00,5,0.12,0.4,0
2022-03-15,0.00,270,0.00,0,,,0
2022-03-16,0.00,245,0.00,3,0.00,0,0
2022-03-17,0.00,158,0.00,7,0.00,0.3333,0
2022-03-18,0.02,154,0.14,86,0.25,0.5904,0
2022-03-19,0.13,218,0.61,634,0.21,0.4782,1
2022-03-20,0.25,196,1.30,543,0.47,0.4749,1
2022-03-21,0.11,175,0.65,551,0.21,0.4417,1
2022-03-22,0.27,255,1.06,755,0.36,0.4609,5
2022-03-23,0.12,208,0.56,643,0.18,0.5222,2
2022-03-24,0.41,225,1.82,762,0.54,0.4668,5
2022-03-25,0.37,232,1.58,689,0.53,0.4625,3
2022-03-26,0.15,213,0.70,723,0.21,0.495,3
2022-03-27,0.20,175,1.17,561,0.36,0.4909,4
2022-03-28,0.53,198,2.67,556,0.95,0.4501,5
2022-03-29,0.26,179,1.45,537,0.48,0.4921,4
2022-03-30,0.13,166,0.75,475,0.26,0.4593,1
2022-03-31,0.34,201,1.68,509,0.66,0.4484,3
2022-04-01,0.11,205,0.54,520,0.21,0.501,1
2022-04-02,0.17,210,0.80,602,0.28,0.4427,4
2022-04-03,0.34,113,2.98,315,1.07,0.5,5
2022-04-04,0.07,183,0.36,620,0.11,0.478,0
2022-04-05,0.53,148,3.56,464,1.13,0.4759,3
2022-04-06,0.06,125,0.47,342,0.17,0.4756,2
2022-04-07,0.18,152,1.20,507,0.36,0.4467,2
2022-04-08,0.22,105,2.06,371,0.58,0.537,2
2022-04-09,0.12,159,0.78,485,0.26,0.5603,3
2022-04-10,0.15,136,1.07,391,0.37,0.4435,4
2022-04-11,0.25,155,1.63,443,0.57,0.481,2
2022-04-12,0.21,192,1.11,569,0.37,0.531,7
2022-04-13,0.47,315,1.50,1010,0.47,0.4758,9
2022-04-14,0.21,159,1.33,530,0.40,0.5,2
2022-04-15,0.07,113,0.66,250,0.30,0.4615,1
2022-04-16,0.00,111,0.00,0,,,0
2022-04-17,0.00,218,0.00,0,,,0
2022-04-18,0.00,213,0.00,1,0.00,1,0
2022-04-19,0.00,176,0.01,1,1.36,0,0
2022-04-20,0.00,176,0.00,0,,,0
2022-04-21,0.00,149,0.00,2,0.20,0.5,0
2022-04-22,0.00,132,0.00,6,0.02,0.1667,0
2022-04-23,0.00,185,0.00,0,,,0
2022-04-24,0.00,242,0.00,8,0.03,0.5714,0
2022-04-25,0.00,176,0.00,6,0.04,0.6667,0
2022-04-26,0.00,155,0.00,0,,,0
2022-04-27,0.01,172,0.03,11,0.49,0.375,0
2022-04-28,0.00,169,0.02,23,0.14,0.5714,0
2022-04-29,0.27,241,1.13,551,0.50,0.4555,4
2022-04-30,0.10,160,0.65,402,0.26,0.4398,3
2022-05-01,0.10,142,0.73,345,0.30,0.4985,3
2022-05-02,0.24,122,1.99,312,0.78,0.3954,3
2022-05-03,0.29,132,2.20,339,0.86,0.5122,3
2022-05-04,0.04,116,0.31,291,0.12,0.4231,0
2022-05-05,0.37,144,2.57,360,1.03,0.5301,6
2022-05-06,0.12,169,0.73,560,0.22,0.4608,2
2022-05-07,0.69,191,3.61,548,1.26,0.4981,6
2022-05-08,0.50,360,1.38,1033,0.48,0.4753,15
2022-05-09,0.26,269,0.98,772,0.34,0.4593,5
2022-05-10,0.17,145,1.21,464,0.38,0.5133,2
2022-05-11,0.10,191,0.50,612,0.16,0.4769,0
2022-05-12,0.21,226,0.95,659,0.33,0.485,2
2022-05-13,0.99,273,3.64,670,1.48,0.4602,16
2022-05-14,0.35,270,1.30,805,0.44,0.5185,9
2022-05-15,0.32,309,1.04,943,0.34,0.4884,7
2022-05-16,0.53,256,2.08,799,0.67,0.4432,6
2022-05-17,0.16,223,0.71,696,0.23,0.5226,2
2022-05-18,0.21,279,0.74,977,0.21,0.4812,2
2022-05-19,0.13,318,0.41,1151,0.11,0.4549,2
2022-05-20,0.07,267,0.27,923,0.08,0.4858,1
2022-05-21,0.13,314,0.41,1084,0.12,0.4757,3
2022-05-22,0.05,133,0.40,477,0.11,0.4641,2
2022-05-23,0.16,199,0.82,713,0.23,0.5502,2
2022-05-24,0.26,208,1.27,605,0.44,0.4656,2
2022-05-25,0.25,135,1.83,439,0.56,0.4633,2
2022-05-26,0.21,94,2.27,310,0.69,0.557,2
2022-05-27,0.10,236,0.43,752,0.14,0.5431,3
2022-05-28,0.03,176,0.16,661,0.04,0.4932,0
2022-05-29,0.16,127,1.22,460,0.34,0.5044,1
2022-05-30,0.00,56,0.06,130,0.02,0.4766,1
2022-05-31,0.01,53,0.20,142,0.07,0.4507,1
2022-06-01,0.02,86,0.24,216,0.09,0.5302,2
2022-06-02,0.21,154,1.37,455,0.46,0.5202,5
2022-06-03,0.10,71,1.44,245,0.42,0.4564,3
2022-06-04,0.10,84,1.17,231,0.42,0.4675,3
2022-06-05,0.00,82,0.06,189,0.03,0.484,0
2022-06-06,0.35,111,3.11,385,0.90,0.4634,3
2022-06-07,0.01,56,0.20,143,0.08,0.4429,1
2022-06-08,0.01,109,0.12,354,0.04,0.4252,0
2022-06-09,0.03,104,0.28,286,0.10,0.4036,4
2022-06-10,0.00,106,0.04,212,0.02,0.532,0
2022-06-11,0.01,53,0.20,114,0.10,0.4286,0
2022-06-12,0.06,112,0.50,304,0.18,0.5839,4
2022-06-13,0.22,85,2.62,223,1.00,0.5799,3
2022-06-14,0.17,80,2.11,223,0.76,0.4208,1
2022-06-15,0.00,51,0.07,97,0.04,0.4688,1
2022-06-16,0.01,75,0.18,177,0.08,0.4506,1
2022-06-17,0.11,33,3.31,80,1.36,0.5405,1
2022-06-18,0.00,27,0.06,47,0.04,0.5532,0
2022-06-19,0.02,46,0.39,146,0.12,0.4828,0
2022-06-20,0.29,149,1.98,447,0.66,0.4799,2
2022-06-21,0.14,191,0.71,724,0.19,0.4964,1
2022-06-22,0.03,70,0.40,270,0.10,0.4831,0
2022-06-23,0.09,147,0.59,502,0.17,0.4928,2
2022-06-24,0.13,206,0.61,705,0.18,0.5,2
2022-06-25,0.14,92,1.56,337,0.43,0.4404,1
2022-06-26,0.05,161,0.28,604,0.08,0.4716,0
2022-06-27,0.34,153,2.23,585,0.58,0.4956,3
2022-06-28,0.35,297,1.19,966,0.37,0.5064,6
2022-06-29,0.21,222,0.95,724,0.29,0.4935,5
2022-06-30,0.26,240,1.10,903,0.29,0.5111,6
2022-07-01,0.04,129,0.30,456,0.09,0.5066,0
2022-07-02,0.28,278,1.00,1012,0.27,0.4745,3
2022-07-03,0.08,336,0.25,1281,0.07,0.4872,2
2022-07-04,0.14,296,0.48,980,0.14,0.4785,2
2022-07-05,0.18,305,0.59,980,0.18,0.5204,6
2022-07-06,0.04,195,0.21,689,0.06,0.523,1
2022-07-07,0.22,345,0.65,1277,0.18,0.4935,2
2022-07-08,0.29,226,1.28,802,0.36,0.4918,3
2022-07-09,0.02,164,0.14,590,0.04,0.4861,0
2022-07-10,0.03,137,0.20,546,0.05,0.4634,0
2022-07-11,0.07,202,0.35,680,0.10,0.4479,1
2022-07-12,0.20,255,0.80,831,0.25,0.5168,4
2022-07-13,0.12,193,0.62,716,0.17,0.5099,3
2022-07-14,0.17,222,0.79,815,0.21,0.5093,3
2022-07-15,0.07,137,0.53,455,0.16,0.5011,1
2022-07-16,0.12,136,0.85,485,0.24,0.5417,2
2022-07-17,0.11,214,0.51,777,0.14,0.5229,1
2022-07-18,0.03,205,0.13,641,0.04,0.4928,0
2022-07-19,0.08,216,0.35,719,0.11,0.4852,5
2022-07-20,0.08,479,0.17,1834,0.04,0.4658,4
2022-07-21,0.23,262,0.86,816,0.28,0.4311,2
2022-07-22,0.02,151,0.13,535,0.04,0.418,0
2022-07-23,0.01,134,0.07,483,0.02,0.5487,0
2022-07-24,0.02,257,0.09,806,0.03,0.4791,2
2022-07-25,0.06,116,0.51,397,0.15,0.5181,1
2022-07-26,0.18,198,0.89,623,0.28,0.5207,2
2022-07-27,0.17,195,0.87,681,0.25,0.5144,1
2022-07-28,0.17,154,1.11,523,0.33,0.5196,2
2022-07-29,0.03,78,0.33,266,0.10,0.4115,0
2022-07-30,0.02,100,0.17,340,0.05,0.4382,0
2022-07-31,0.03,93,0.29,341,0.08,0.4474,0
2022-08-01,0.03,122,0.23,262,0.11,0.502,0
2022-08-02,0.03,116,0.23,308,0.09,0.5497,0
2022-08-03,0.12,148,0.83,526,0.23,0.5058,3
2022-08-04,0.07,59,1.12,192,0.34,0.4889,2
2022-08-05,0.05,89,0.51,342,0.13,0.4897,1
2022-08-06,0.19,102,1.82,370,0.50,0.5613,1
2022-08-07,0.08,75,1.13,310,0.27,0.5166,1
2022-08-08,0.01,72,0.08,242,0.02,0.5292,0
2022-08-09,0.02,66,0.24,241,0.07,0.5168,1
2022-08-10,0.02,97,0.18,277,0.06,0.4854,1
2022-08-11,0.02,113,0.18,327,0.06,0.5077,1
2022-08-12,0.02,57,0.36,168,0.12,0.497,0
2022-08-13,0.01,79,0.13,219,0.05,0.5525,0
2022-08-14,0.03,124,0.26,337,0.09,0.4865,1
2022-08-15,0.01,160,0.08,447,0.03,0.4918,0
2022-08-16,0.11,148,0.73,438,0.25,0.4836,2
2022-08-17,0.03,113,0.23,347,0.07,0.4651,1
2022-08-18,0.02,83,0.18,298,0.05,0.4949,1
2022-08-19,0.01,54,0.22,148,0.08,0.4545,0
2022-08-20,0.02,81,0.29,254,0.09,0.4798,0
2022-08-21,0.01,70,0.13,186,0.05,0.4402,0
2022-08-22,0.01,94,0.10,315,0.03,0.492,0
2022-08-23,0.03,60,0.55,199,0.17,0.5226,0
2022-08-24,0.16,120,1.33,352,0.45,0.4943,1
2022-08-25,0.07,181,0.37,525,0.13,0.4797,3
2022-08-26,0.07,84,0.84,269,0.26,0.5204,1
2022-08-27,0.01,78,0.13,284,0.04,0.5348,1
2022-08-28,0.08,247,0.32,1113,0.07,0.4794,2
2022-08-29,0.03,157,0.21,561,0.06,0.4867,1
2022-08-30,0.02,189,0.11,743,0.03,0.5232,1
2022-08-31,0.35,339,1.03,1448,0.24,0.4412,7
2022-09-01,0.03,82,0.36,274,0.11,0.4366,0
2022-09-02,0.01,78,0.15,278,0.04,0.4721,0
2022-09-03,0.01,149,0.08,584,0.02,0.4776,0
2022-09-04,0.10,185,0.54,587,0.17,0.4466,2
2022-09-05,0.02,113,0.20,429,0.05,0.5365,1
2022-09-06,0.01,112,0.11,374,0.03,0.4219,0
2022-09-07,0.14,76,1.83,286,0.49,0.4737,2
2022-09-08,0.05,138,0.39,514,0.10,0.523,2
2022-09-09,0.02,88,0.23,236,0.08,0.443,0
2022-09-10,0.10,110,0.89,406,0.24,0.5038,3
2022-09-11,0.06,133,0.46,458,0.13,0.5197,3
2022-09-12,0.01,106,0.14,364,0.04,0.5289,0
2022-09-13,0.04,100,0.43,375,0.11,0.5175,1
2022-09-14,0.02,163,0.11,548,0.03,0.5064,1
2022-09-15,0.12,138,0.87,475,0.25,0.4776,2
2022-09-16,0.29,126,2.33,431,0.68,0.5153,5
2022-09-17,0.01,91,0.09,352,0.02,0.4857,0
2022-09-18,0.02,141,0.18,434,0.06,0.5108,2
2022-09-19,0.17,250,0.66,824,0.20,0.5075,5
2022-09-20,0.06,103,0.54,389,0.14,0.4772,1
2022-09-21,0.12,357,0.33,1230,0.10,0.4237,3
2022-09-22,0.08,107,0.73,356,0.22,0.4899,1
2022-09-23,0.02,173,0.09,663,0.02,0.519,1
2022-09-24,0.12,163,0.71,602,0.19,0.4538,1
2022-09-25,0.04,143,0.28,488,0.08,0.499,1
2022-09-26,0.01,78,0.11,233,0.04,0.5302,0
2022-09-27,0.06,139,0.41,377,0.15,0.504,4
2022-09-28,0.02,126,0.20,324,0.08,0.4952,2
2022-09-29,0.14,52,2.69,163,0.86,0.5414,1
2022-09-30,0.01,70,0.18,238,0.05,0.4402,0
2022-10-01,0.02,73,0.28,184,0.11,0.5028,0
2022-10-02,0.30,262,1.14,1090,0.27,0.5009,3
2022-10-03,0.33,241,1.38,890,0.37,0.535,8
2022-10-04,0.00,132,0.02,476,0.01,0.5372,0
2022-10-05,0.04,280,0.13,1016,0.03,0.5355,0
2022-10-06,0.17,258,0.66,913,0.19,0.5067,2
2022-10-07,0.02,124,0.18,449,0.05,0.5215,0
2022-10-08,0.01,145,0.08,469,0.02,0.5142,0
2022-10-09,0.02,125,0.14,511,0.03,0.505,1
2022-10-10,0.03,133,0.21,446,0.06,0.4345,2
2022-10-11,0.04,84,0.44,269,0.14,0.4648,1
2022-10-12,0.01,63,0.16,259,0.04,0.5138,0
2022-10-13,0.04,127,0.33,458,0.09,0.4858,1
2022-10-14,0.02,116,0.14,380,0.04,0.4327,0
2022-10-15,0.01,86,0.10,284,0.03,0.4158,0
2022-10-16,0.01,59,0.12,163,0.04,0.4383,0
2022-10-17,0.10,199,0.50,639,0.15,0.5195,1
2022-10-18,0.04,99,0.36,302,0.12,0.5217,4
2022-10-19,0.30,223,1.36,762,0.40,0.4668,7
2022-10-20,0.15,124,1.20,378,0.39,0.4797,4
2022-10-21,0.02,78,0.29,217,0.11,0.4764,1
2022-10-22,0.10,48,2.13,132,0.78,0.4885,2
2022-10-23,0.06,102,0.55,317,0.18,0.4409,3
2022-10-24,0.01,78,0.13,260,0.04,0.4353,0
2022-10-25,0.00,100,0.05,265,0.02,0.4751,1
2022-10-26,0.10,200,0.52,654,0.16,0.4814,3
2022-10-27,0.03,151,0.17,433,0.06,0.5071,1
2022-10-28,0.01,136,0.09,432,0.03,0.4581,0
2022-10-29,0.04,83,0.42,235,0.15,0.4592,3
2022-10-30,0.00,85,0.03,256,0.01,0.4704,0
2022-10-31,0.00,67,0.06,100,0.04,0.39,1
2022-11-01,0.00,51,0.06,119,0.02,0.4034,1
2022-11-02,0.00,45,0.03,98,0.01,0.4184,0
2022-11-03,0.00,74,0.06,145,0.03,0.4476,0
2022-11-04,0.01,57,0.15,172,0.05,0.4706,2
2022-11-05,0.02,51,0.36,139,0.13,0.553,2
2022-11-06,0.00,48,0.02,145,0.01,0.3803,0
2022-11-07,0.03,50,0.53,152,0.18,0.4342,1
2022-11-08,0.01,78,0.08,249,0.03,0.4939,0
2022-11-09,0.06,94,0.61,284,0.20,0.5355,5
2022-11-10,0.00,76,0.03,250,0.01,0.5021,0
2022-11-11,0.10,67,1.42,155,0.62,0.4545,1
2022-11-12,0.00,42,0.04,92,0.02,0.5055,0
2022-11-13,0.00,24,0.07,69,0.02,0.5821,0
2022-11-14,0.01,79,0.14,289,0.04,0.4983,0
2022-11-15,0.00,58,0.07,200,0.02,0.52,0
2022-11-16,0.00,63,0.05,214,0.01,0.5308,0
2022-11-17,0.00,31,0.03,89,0.01,0.4719,0
2022-11-18,0.00,41,0.06,120,0.02,0.525,0
2022-11-19,0.01,65,0.09,194,0.03,0.4197,0
2022-11-20,0.01,45,0.16,148,0.05,0.4247,0
2022-11-21,0.00,22,0.19,80,0.05,0.5125,0
2022-11-22,0.00,78,0.02,279,0.01,0.4964,0
2022-11-23,0.00,18,0.21,46,0.08,0.5333,0
2022-11-24,0.00,69,0.05,185,0.02,0.5659,1
2022-11-25,0.13,72,1.86,247,0.54,0.4835,2
2022-11-26,0.00,51,0.06,191,0.02,0.3947,0
2022-11-27,0.02,165,0.12,455,0.04,0.613,1
2022-11-28,0.01,74,0.12,184,0.05,0.5414,0
2022-11-29,0.03,36,0.74,95,0.28,0.5263,1
2022-11-30,0.00,38,0.10,111,0.03,0.4579,0
2022-12-01,0.00,28,0.05,69,0.02,0.4493,0
2022-12-02,0.00,26,0.05,55,0.03,0.4182,0
2022-12-03,0.01,55,0.10,168,0.03,0.4192,0
2022-12-04,0.07,35,2.14,93,0.81,0.5109,1
2022-12-05,0.09,75,1.19,242,0.37,0.475,2
2022-12-06,0.01,34,0.28,92,0.10,0.3563,0
2022-12-07,0.00,30,0.06,64,0.03,0.5556,0
2022-12-08,0.01,35,0.24,60,0.14,0.65,0
2022-12-09,0.00,11,0.09,43,0.02,0.4286,0
2022-12-10,0.00,52,0.03,114,0.01,0.4425,0
2022-12-11,0.00,41,0.08,140,0.02,0.4855,0
2022-12-12,0.00,43,0.08,152,0.02,0.4276,0
2022-12-13,0.01,107,0.11,450,0.03,0.5,0
2022-12-14,0.01,45,0.30,164,0.08,0.465,1
2022-12-15,0.01,49,0.13,149,0.04,0.5608,0
2022-12-16,0.01,44,0.12,141,0.04,0.617,0
2022-12-17,0.00,23,0.08,105,0.02,0.5096,0
2022-12-18,0.00,25,0.15,104,0.04,0.55,0
2022-12-19,0.00,28,0.15,103,0.04,0.5437,0
2022-12-20,0.01,38,0.18,140,0.05,0.5286,0
2022-12-21,0.18,39,4.50,125,1.40,0.5161,1
2022-12-22,0.00,58,0.03,196,0.01,0.4918,0
2022-12-23,0.00,24,0.02,60,0.01,0.4068,0
2022-12-24,0.00,12,0.02,41,0.01,0.4634,0
2022-12-25,0.00,19,0.02,76,0.00,0.4868,0
2022-12-26,0.00,83,0.05,239,0.02,0.519,0
2022-12-27,0.00,21,0.03,53,0.01,0.566,0
2022-12-28,0.00,37,0.03,69,0.02,0.5522,0
2022-12-29,0.00,32,0.05,126,0.01,0.624,0
2022-12-30,0.00,67,0.07,218,0.02,0.5688,1
2022-12-31,0.00,29,0.17,85,0.06,0.4706,0
2023-01-01,0.00,27,0.03,114,0.01,0.6518,0
2023-01-02,0.00,65,0.03,227,0.01,0.5154,0
2023-01-03,0.00,50,0.10,218,0.02,0.5161,0
2023-01-04,0.00,46,0.07,166,0.02,0.5482,1
2023-01-05,0.01,144,0.04,436,0.01,0.5839,0
2023-01-06,0.02,243,0.07,783,0.02,0.4781,0
2023-01-07,0.16,237,0.66,765,0.20,0.4021,5
2023-01-08,0.18,151,1.18,642,0.28,0.5079,4
2023-01-09,0.00,85,0.06,247,0.02,0.4774,0
2023-01-10,0.00,67,0.05,165,0.02,0.5879,0
2023-01-11,0.07,116,0.57,375,0.18,0.5486,1
2023-01-12,0.01,118,0.05,264,0.02,0.5191,0
2023-01-13,0.00,19,0.10,46,0.04,0.5111,0
2023-01-14,0.00,111,0.04,313,0.01,0.5779,0
2023-01-15,0.00,36,0.01,107,0.00,0.514,0
2023-01-16,0.03,64,0.40,150,0.17,0.4527,1
2023-01-17,0.02,166,0.14,455,0.05,0.4531,1
2023-01-18,0.02,76,0.25,224,0.08,0.555,1
2023-01-19,0.01,60,0.15,161,0.06,0.5253,0
2023-01-20,0.11,263,0.42,827,0.13,0.5025,2
2023-01-21,0.01,113,0.05,412,0.01,0.5285,0
2023-01-22,0.08,102,0.74,343,0.22,0.4759,1
2023-01-23,0.00,62,0.02,169,0.01,0.5556,0
2023-01-24,0.03,26,1.04,79,0.34,0.5,1
2023-01-25,0.00,71,0.04,202,0.01,0.585,0
2023-01-26,0.01,234,0.04,718,0.01,0.4831,0
2023-01-27,0.02,258,0.07,802,0.02,0.5196,0
2023-01-28,0.09,100,0.87,296,0.29,0.5563,2
2023-01-29,0.05,103,0.53,330,0.17,0.5294,3
2023-01-30,0.22,475,0.47,1909,0.12,0.4564,9
2023-01-31,0.12,503,0.24,1872,0.06,0.4038,9
2023-02-01,0.02,344,0.05,1101,0.01,0.4277,0
2023-02-02,0.02,110,0.23,405,0.06,0.4961,3
2023-02-03,0.02,68,0.36,196,0.13,0.4842,1
2023-02-04,0.00,52,0.02,130,0.01,0.384,0
2023-02-05,0.22,340,0.65,1234,0.18,0.5235,7
2023-02-06,0.24,623,0.38,2252,0.10,0.48,4
2023-02-07,0.11,213,0.51,743,0.15,0.5427,7
2023-02-08,0.04,191,0.19,730,0.05,0.517,2
2023-02-09,0.08,136,0.56,525,0.14,0.5272,1
2023-02-10,0.40,98,4.10,394,1.02,0.4859,4
2023-02-11,0.05,39,1.29,115,0.44,0.4035,2
2023-02-12,0.37,120,3.08,451,0.82,0.4638,3
2023-02-13,0.05,61,0.82,262,0.19,0.5134,1
2023-02-14,0.00,34,0.10,125,0.03,0.5403,0
2023-02-15,0.25,87,2.88,275,0.91,0.4981,2
2023-02-16,0.01,73,0.07,209,0.03,0.4585,0
2023-02-17,0.01,51,0.10,101,0.05,0.5248,1
2023-02-18,0.00,14,0.01,17,0.01,0.2941,0
2023-02-19,0.07,58,1.19,186,0.37,0.4892,3
2023-02-20,0.00,47,0.03,114,0.01,0.4561,0
2023-02-21,0.00,51,0.03,144,0.01,0.5035,0
2023-02-22,0.00,17,0.24,45,0.09,0.4889,1
2023-02-23,0.01,37,0.33,130,0.09,0.5156,1
2023-02-24,0.00,66,0.03,137,0.02,0.4328,0
2023-02-25,0.09,61,1.48,167,0.54,0.512,1
2023-02-26,0.12,45,2.72,142,0.86,0.4857,2
2023-02-27,0.00,39,0.04,97,0.01,0.5161,0
2023-02-28,0.04,83,0.43,262,0.14,0.5364,1
2023-03-01,0.01,160,0.04,513,0.01,0.4381,1
2023-03-02,0.07,76,0.92,250,0.28,0.5265,2
2023-03-03,0.01,45,0.25,173,0.06,0.4675,1
2023-03-04,0.00,98,0.03,234,0.01,0.5837,0
2023-03-05,0.00,70,0.05,179,0.02,0.5254,0
2023-03-06,0.00,31,0.03,82,0.01,0.5625,1
2023-03-07,0.00,19,0.04,65,0.01,0.5538,0
2023-03-08,0.00,37,0.05,108,0.02,0.5833,0
2023-03-09,0.06,88,0.74,291,0.22,0.5,1
2023-03-10,0.05,92,0.55,359,0.14,0.5922,1
2023-03-11,0.08,93,0.83,343,0.22,0.5487,3
2023-03-12,0.03,79,0.37,233,0.12,0.5526,3
2023-03-13,0.01,45,0.12,141,0.04,0.5319,0
2023-03-14,0.00,41,0.07,159,0.02,0.6604,0
2023-03-15,0.01,30,0.31,72,0.13,0.7324,0
2023-03-16,0.00,22,0.06,50,0.03,0.48,0
2023-03-17,0.52,34,15.34,119,4.38,0.5798,3
2023-03-18,0.00,20,0.11,66,0.03,0.7077,0
2023-03-19,0.00,30,0.11,105,0.03,0.4952,0
2023-03-20,0.01,69,0.11,234,0.03,0.5064,0
2023-03-21,0.03,41,0.61,183,0.14,0.5792,1
2023-03-22,0.00,13,0.04,41,0.01,0.439,0
2023-03-23,0.00,20,0.02,69,0.00,0.5075,0
2023-03-24,0.04,74,0.57,315,0.13,0.5537,2
2023-03-25,0.06,34,1.91,150,0.43,0.6443,1
2023-03-26,0.00,18,0.08,87,0.02,0.4828,0
2023-03-27,0.00,26,0.08,101,0.02,0.4653,0
2023-03-28,0.01,24,0.50,100,0.12,0.4286,0
2023-03-29,0.01,37,0.19,123,0.06,0.5285,0
2023-03-30,0.00,16,0.05,52,0.02,0.5577,0
2023-03-31,0.01,37,0.16,72,0.08,0.4507,0
2023-04-01,0.00,48,0.10,134,0.03,0.6015,0
2023-04-02,0.00,38,0.09,147,0.02,0.6122,2
2023-04-03,0.01,135,0.07,525,0.02,0.465,0
2023-04-04,0.09,80,1.15,259,0.35,0.4627,2
2023-04-05,0.16,72,2.20,213,0.74,0.5425,3
2023-04-06,0.00,41,0.10,94,0.04,0.6277,0
2023-04-07,0.01,99,0.14,324,0.04,0.5426,0
2023-04-08,0.00,58,0.05,163,0.02,0.642,0
2023-04-09,0.00,69,0.05,205,0.02,0.3383,2
2023-04-10,0.11,75,1.44,279,0.39,0.6051,3
2023-04-11,0.00,138,0.03,414,0.01,0.5304,3
