Date,Estimated earnings (USD),Page views,Page RPM (USD),Impressions,Impression RPM (USD),Active View Viewable,Clicks
2021-01-11,0.36,166,2.19,380,0.96,0.4234,2
2021-01-12,0.25,142,1.73,345,0.71,0.4841,2
2021-01-13,0.02,175,0.11,428,0.05,0.4825,2
2021-01-14,0.69,250,2.75,702,0.98,0.4866,10
2021-01-15,0.34,270,1.27,807,0.43,0.4451,6
2021-01-16,0.11,291,0.37,824,0.13,0.4345,3
2021-01-17,0.02,149,0.16,361,0.07,0.4571,0
2021-01-18,0.02,228,0.11,524,0.05,0.4478,0
2021-01-19,0.01,128,0.05,262,0.03,0.4791,1
2021-01-20,0.00,55,0.03,97,0.02,0.3333,0
2021-01-21,0.01,125,0.05,269,0.02,0.3396,0
2021-01-22,0.04,138,0.27,341,0.11,0.4023,1
2021-01-23,0.01,102,0.10,261,0.04,0.4788,0
2021-01-24,0.06,169,0.33,366,0.15,0.5235,2
2021-01-25,0.11,166,0.65,327,0.33,0.4202,2
2021-01-26,0.01,157,0.08,264,0.05,0.5113,1
2021-01-27,0.42,128,3.27,229,1.83,0.4242,3
2021-01-28,0.13,155,0.82,335,0.38,0.4018,1
2021-01-29,0.04,260,0.17,584,0.08,0.4558,2
2021-01-30,0.10,214,0.47,526,0.19,0.484,1
2021-01-31,0.12,208,0.56,283,0.41,0.5331,3
2021-02-01,0.02,233,0.10,520,0.04,0.5227,0
2021-02-02,0.00,146,0.02,348,0.01,0.4913,0
2021-02-03,0.01,100,0.15,220,0.07,0.4591,1
2021-02-04,0.10,491,0.21,1099,0.09,0.4926,5
2021-02-05,0.13,251,0.50,500,0.25,0.4611,2
2021-02-06,0.15,234,0.65,467,0.32,0.5011,1
2021-02-07,0.10,81,1.22,196,0.50,0.4503,1
2021-02-08,0.01,82,0.18,209,0.07,0.4634,0
2021-02-09,0.05,105,0.49,217,0.24,0.4227,0
2021-02-10,0.06,252,0.23,576,0.10,0.4441,1
2021-02-11,0.01,104,0.09,219,0.04,0.4332,0
2021-02-12,0.17,93,1.79,227,0.73,0.3886,1
2021-02-13,0.06,150,0.38,269,0.21,0.4576,2
2021-02-14,0.14,182,0.78,490,0.29,0.4474,1
2021-02-15,0.05,159,0.29,405,0.11,0.4604,1
2021-02-16,0.13,276,0.47,548,0.23,0.5335,2
2021-02-17,0.02,179,0.09,449,0.04,0.4422,1
2021-02-18,0.25,244,1.03,549,0.46,0.4582,2
2021-02-19,0.06,141,0.45,351,0.18,0.5071,1
2021-02-20,0.04,284,0.15,667,0.06,0.4294,1
2021-02-21,0.09,216,0.44,607,0.16,0.4676,2
2021-02-22,0.02,204,0.10,437,0.05,0.4727,1
2021-02-23,0.23,241,0.96,547,0.42,0.4061,4
2021-02-24,0.02,176,0.10,368,0.05,0.4038,1
2021-02-25,0.13,189,0.71,569,0.23,0.4392,1
2021-02-26,0.18,169,1.08,467,0.39,0.4225,2
2021-02-27,0.01,147,0.07,372,0.03,0.4521,1
2021-02-28,0.04,174,0.24,461,0.09,0.4258,2
2021-03-01,0.07,157,0.42,476,0.14,0.4129,1
2021-03-02,0.01,284,0.04,781,0.02,0.3982,0
2021-03-03,0.26,319,0.81,707,0.37,0.4562,3
2021-03-04,0.31,570,0.55,1622,0.19,0.4918,6
2021-03-05,0.29,429,0.67,1217,0.24,0.4372,4
2021-03-06,0.14,269,0.50,796,0.17,0.4668,6
2021-03-07,0.02,264,0.07,800,0.02,0.4499,0
2021-03-08,0.01,140,0.09,301,0.04,0.4949,1
2021-03-09,0.04,254,0.15,773,0.05,0.5297,1
2021-03-10,0.02,207,0.11,668,0.03,0.4544,0
2021-03-11,0.01,173,0.05,457,0.02,0.3926,0
2021-03-12,0.01,140,0.06,344,0.02,0.4046,0
2021-03-13,0.13,521,0.25,1261,0.11,0.4917,3
2021-03-14,0.02,280,0.08,736,0.03,0.4446,1
2021-03-15,0.01,173,0.07,493,0.03,0.4209,0
2021-03-16,0.01,145,0.08,353,0.03,0.438,1
2021-03-17,0.01,183,0.06,335,0.03,0.3881,0
2021-03-18,0.04,116,0.30,290,0.12,0.4158,1
2021-03-19,0.05,117,0.45,336,0.16,0.4149,1
2021-03-20,0.01,140,0.06,333,0.02,0.4789,0
2021-03-21,0.12,205,0.60,478,0.26,0.4876,3
2021-03-22,0.03,209,0.13,396,0.07,0.4353,0
